tanggal,teks
2022-03-15 12:02:40+00:00,b'tetep lanjut meski diganggu \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f\n\nTelegram : https://t.co/nVTOcMKyTb\n\nInfo trik dan bocoran : https://t.co/niABLRlyEw\xe2\x80\xa6 https://t.co/6o5dlOoSp5'
,
2022-03-15 12:02:05+00:00,b'tetep lanjut meski diganggu \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f\n\nTelegram : https://t.co/QwfB9XLCJe\n\nInfo trik dan bocoran : https://t.co/XSDhjoAzRs\xe2\x80\xa6 https://t.co/2xDtlHmcs4'
,
2022-03-15 12:01:49+00:00,b'tetep lanjut meski diganggu \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f\n\nTelegram : https://t.co/Trsck4kx2i\n\nInfo trik dan bocoran : https://t.co/XzZmrFk10h\xe2\x80\xa6 https://t.co/98TJEsA6BK'
,
2022-03-15 12:01:20+00:00,b'tetep lanjut meski diganggu \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f\n\nTelegram : https://t.co/Ku3na4zgjI\n\nInfo trik dan bocoran : https://t.co/eKrIHzSZNQ\xe2\x80\xa6 https://t.co/DH5gcGTyAi'
,
2022-03-15 11:03:20+00:00,b'Di saat semua fear disitu kita all in\n#GOTO'
,
2022-03-15 10:57:17+00:00,"b'Kilat77, terbaik dan secepat kilat!!!\n\nWeb game terlengkap di Indonesia dari SLOT hingga POKER!!\nPROSES DEPO WD SEC\xe2\x80\xa6 https://t.co/qgvU4xC38k'"
,
2022-03-15 10:53:42+00:00,"b'Driver Ojol bisa jadi Pemegang Saham GoTo, Inilah Penjelasannya! \n#GoTo \n#ojol\nhttps://t.co/YNccZYnIRb'"
,
2022-03-15 10:51:42+00:00,"b'https://t.co/BdpP2leJ99\n\nSaatnya Berburu Cuan, 52 Miliar Saham GoTo Siap Dilepas ke Publik \n\n#beritafintech\xe2\x80\xa6 https://t.co/53VptwCcDw'"
,
2022-03-15 10:13:24+00:00,"b'@rahasiabandar @rikzareznor @OhMyBossman @doktermarket sama soalnya gue pake ipot nih, tapi baru daftar aja sama bu\xe2\x80\xa6 https://t.co/qhz6UlSYix'"
,
2022-03-15 09:52:03+00:00,b'INFO SLOT GACOR HARI INI SELASA 15 MARET 2022\nLINK : https://t.co/qOPspNSl2N\n#kapal4d #kapal4d2 #PialaDunia #FIFA\xe2\x80\xa6 https://t.co/arrJgBkzPC'
,
2022-03-15 09:29:09+00:00,"b'RT @dailysocial: [THREAD Tentang #GoTo]\n\nMenyambut IPO GoTo hari ini, mari kita bahas pertemuan mereka dari awal hingga public expose GoTo!\xe2\x80\xa6'"
,
2022-03-15 09:10:41+00:00,"b'Bagi teman2 #kafein yg ingin dapatkan prospektus IPO #GOTO, bisa read dan dowload dimari yah:\xe2\x80\xa6 https://t.co/Ioiq1X8AE3'"
,
2022-03-15 08:56:02+00:00,"b'Orang2 nunggu #GoTo #IPO, gw cuman nunggu GoPay Coins bisa dipake di GoFood'"
,
2022-03-15 08:38:32+00:00,"b'Mantep nih, otw bulan lesgoooo \xf0\x9f\x9a\x80\n#GOTO \n#ToTheMoon https://t.co/SSBnHxpKAO'"
,
2022-03-15 08:10:51+00:00,b'Siap \xf0\x9f\x9a\x80\n\n#Goto https://t.co/ZLoAhbMsGE'
,
2022-03-15 07:10:48+00:00,b'3/\nNah ini kenapa untuk stabilisasi harga bukannya yang dipasang price floor supaya harga terjaga tidak turun terus\xe2\x80\xa6 https://t.co/hunQrkGdFI'
,
2022-03-15 07:00:33+00:00,b'Mau kulik Catatan Perjalanan Gojek dan Tokopedia hingga Menjadi GoTo?\n\nSimak selengkapnya di Mini Report: The Story\xe2\x80\xa6 https://t.co/m6fawQrjyk'
,
2022-03-15 07:00:33+00:00,"b'Selain ADIA, beberapa investor yang turut terlibat termasuk Avanda Investment Management, Fidelity International, T\xe2\x80\xa6 https://t.co/PCqi4RfRAs'"
,
2022-03-15 07:00:32+00:00,"b'Perolehan pendanaan pra-IPO $400 juta dari ADIA jadi sinyal baik menuju rencana IPO di awal tahun, di bursa lokal d\xe2\x80\xa6 https://t.co/V1vEx3leWi'"
,
2022-03-15 07:00:32+00:00,b'Kabar saat GoTo menjadi nama berikutnya yang disinggung Bursa Efek Indonesia untuk melantai setelah Bukalapak.\xe2\x80\xa6 https://t.co/9y8Q63IVSa'
,
2022-03-15 07:00:31+00:00,b'Kabar resmi Gojek dan Tokopedia resmi merger pada 17 Mei 2021.\n\nhttps://t.co/kZIQaV9xIC \n\n#GoTo #GOTO #IPOGoTo\xe2\x80\xa6 https://t.co/IAThDlPry7'
,
2022-03-15 07:00:31+00:00,b'Analisa peluang-peluang yang akan dihasilkan oleh pembentukan GoTo dari seorang pakar.\n\nhttps://t.co/4lonzXwbbK\xe2\x80\xa6 https://t.co/5hT5eyQC71'
,
2022-03-15 07:00:30+00:00,b'Momen-momen merger Gojek dan Tokopedia yang saat itu hangat sekali dibahas.\n\nhttps://t.co/2KrR099Nla \n\n#GoTo #GOTO\xe2\x80\xa6 https://t.co/1qB2q76EL4'
,
2022-03-15 07:00:29+00:00,b'Gojek jadi unicorn pertama Indonesia setelah bukukan pendanaan Rp7.3 triliun.\n\nhttps://t.co/nGjAUl0CJe\n\n#GoTo #GOTO\xe2\x80\xa6 https://t.co/uXy4IZvGEL'
,
2022-03-15 07:00:29+00:00,b'Tokopedia menjadi unicorn kedua Indonesia setelah bukukan pendanaan Rp14 triliun yang dipimpin Alibaba.\xe2\x80\xa6 https://t.co/wZhxOToYjf'
,
2022-03-15 07:00:28+00:00,b'Putaran pendanaan seri F dengan partisipasi Mitshubisi dll mantapkan Gojek menjadi decacorn.\xe2\x80\xa6 https://t.co/I12rSF5RJr'
,
2022-03-15 07:00:28+00:00,b'Pencapaian Tokopedia yang berhasil mencapai Rp1 miliar pertama transaksi.\n\nhttps://t.co/xfS3JLtO5h\n\n#GoTo #GOTO\xe2\x80\xa6 https://t.co/VXXAyh43qA'
,
2022-03-15 07:00:27+00:00,"b'[THREAD Tentang #GoTo]\n\nMenyambut IPO GoTo hari ini, mari kita bahas pertemuan mereka dari awal hingga public expos\xe2\x80\xa6 https://t.co/BPs0DV3XND'"
,
2022-03-15 06:52:50+00:00,"b'tetapi masih harus dikali 2 krn ada Tokopedia, itu juga masih sekitar Rp 300 triliun.\nya, berarti valuasi ini premi\xe2\x80\xa6 https://t.co/yVAnKqDbox'"
,
2022-03-15 06:38:21+00:00,b'RT @KelasKakdo: #GOTO\n\nSentimen menarik buat #IHSG https://t.co/o8rjXotWze'
,
2022-03-15 06:29:38+00:00,b'Simak perjalanan mereka selengkapnya di https://t.co/Lw2O1cuz9J dan https://t.co/J8N1cYLXzl.\n\n#GoTo #IPO #DSStartup\xe2\x80\xa6 https://t.co/7JqRTElOT2'
,
2022-03-15 06:21:30+00:00,b'Simak perjalanan mereka selengkapnya di https://t.co/Lw2O1cLCbJ dan https://t.co/J8N1cYtOld.\n\n#GoTo #IPO #DSStartup\xe2\x80\xa6 https://t.co/KTB55f7pz4'
,
2022-03-15 06:12:23+00:00,b'Cuma iseng baca baca aja #goto https://t.co/p7t5ovnZQA'
,
2022-03-15 05:50:04+00:00,b'GOTO resmi mengumumkan melantai di BEI $GOTO @tokopedia @gojekindonesia  keren abis.... #GOTO https://t.co/ipTiAtMD0Z'
,
2022-03-15 05:40:38+00:00,"b'sambil menunggu percolokan hidung &amp; tenggorokan kembali, mari kita bedah IPO #GOTO \xf0\x9f\x98\x8c\n\nfirst thing first, berkaca da\xe2\x80\xa6 https://t.co/3ti5ACi4K6'"
,
2022-03-15 05:05:16+00:00,"b'""Papanya silahkan dicium nak, kafannya sudah mau ditutup, air matanya jgn sampai netes ya..""\n\nSejak saat itu duniak\xe2\x80\xa6 https://t.co/2BJtYNAykQ'"
,
2022-03-15 05:03:15+00:00,"b'Setelah IPO, #GoTO akan punya kapitalisasi pasar Rp414 triliun. Melebihi kapitalisasi Astra (ASII) dan Unilever (UN\xe2\x80\xa6 https://t.co/9tr4gNTjwM'"
,
2022-03-15 04:52:37+00:00,b'Jujur gk bisa baca yg dikolom\n\n#GOTO #wulanguritno #BusinessProposalEp6 #jokowi #ipo https://t.co/FtWxDbJTXF'
,
2022-03-15 04:47:31+00:00,"b'RT @lewisuprato02: Public Expose, Penawaran Saham Perdana PT GoTo Gojek Tokopedia Tbk | Men... https://t.co/GfrTyaDSlG lewat @YouTube\n\n#IPO\xe2\x80\xa6'"
,
2022-03-15 04:42:34+00:00,b'Apakah jadi #BUKA 2.0? \nAtau #GOTO to the moon? \xf0\x9f\xa4\x94\nKalo liat startup IPO jadi inget WeWork dan lumayan traumatis ya https://t.co/xWqO9f7oHp'
,
2022-03-15 04:36:57+00:00,b'Gua tau bakal rugi.. Tapi gw bakal tetep beli.. Hahaha #GoTo'
,
2022-03-15 04:25:59+00:00,b'3 zeros in 2030 ini ambisius banget sihh ga mungkin mann but at least very good ambitions #GOTO'
,
2022-03-15 04:21:46+00:00,b'Promo Wardah khusus hari ini di Shopee gaes \xe2\x9d\xa4\xef\xb8\x8f\n\nCek promonya disini \xf0\x9f\x91\x89 https://t.co/Iz7sDpMScl\n\n#ShopeePromo315\xe2\x80\xa6 https://t.co/37UfNhFXiY'
,
2022-03-15 04:18:14+00:00,b'GOTO BERENCANA LISTING DI BURSA LUAR NEGERI\n#GOTO #EKONOMI'
,
2022-03-15 04:11:16+00:00,"b'Penawaran awal #GOTO kok pas tanggal segini seh mazzeh, harus gadai apalagi ini buat nebusnya'"
,
2022-03-15 04:03:42+00:00,b'RT @enggasunat: #RamadanSebentarLagi saatnya beli HP baru!\nDi JUAL RUGI nih... #Realme C25Y\n#BrandNewInBox Masih Segel dan Garansi 11 Bulan\xe2\x80\xa6'
,
2022-03-15 04:01:43+00:00,b'#RamadanSebentarLagi saatnya beli HP baru!\nDi JUAL RUGI nih... #Realme C25Y\n#BrandNewInBox Masih Segel dan Garansi\xe2\x80\xa6 https://t.co/Q2YPYLQjUw'
,
2022-03-15 04:01:06+00:00,"b'Hasil Pengeluaran Angka Pasaran Kenya\nSelasa, 15 Maret 2022\nResult : 6443\nShio : Monyet\nSelamat Bagi Yang JP\nAlt Li\xe2\x80\xa6 https://t.co/41Ghe3Qo12'"
,
2022-03-15 03:57:11+00:00,"b'Public Expose, Penawaran Saham Perdana PT GoTo Gojek Tokopedia Tbk | Men... https://t.co/GfrTyaDSlG lewat @YouTube\n\n#IPO #GOTO #DYOR'"
,
2022-03-15 03:53:20+00:00,b'RT @dekorpedia: Kamu pilih ruang kerja yang kayak gmn? \n\n#GOTO #wulanguritno https://t.co/JDgVAYYCBG'
,
2022-03-15 03:48:54+00:00,"b'""Menarik untuk melihat #GoTo Group memilih penilaian yang sangat konservatif $26,44B - $28,95B\n\nIni adalah harga ya\xe2\x80\xa6 https://t.co/lO5oJ7idwX'"
,
2022-03-15 03:47:44+00:00,"b'Hasil Pengeluaran KENTUCKYPOOL\nHari Ini : Selasa 15-03-2022\nResult  : 6 8 9 1\nSHIO    : MONYET\nSelamat Kepada Pemenang, Salam JP.\n#GOTO'"
,
2022-03-15 03:47:42+00:00,"b'Hasil Pengeluaran KENTUCKYPOOL\nHari Ini : Selasa 15-03-2022\nResult  : 6 8 9 1\nSHIO    : MONYET\nSelamat Kepada Pemenang, Salam JP.\n#GOTO'"
,
2022-03-15 03:45:04+00:00,b'Punya masalah pada Keuangan? Pendapatan kurang?\nVipBandarQ solusi dari segala masalah  anda!\nDaftarkan diri anda se\xe2\x80\xa6 https://t.co/te0zdCzsGZ'
,
2022-03-15 03:40:53+00:00,b'Kamu pilih ruang kerja yang kayak gmn? \n\n#GOTO #wulanguritno https://t.co/JDgVAYYCBG'
,
2022-03-15 03:40:32+00:00,b'#GoTo masih rugi Rp8 triliun lebih per Juli 2021'
,
2022-03-15 03:31:56+00:00,b'Sekedar mengingatkan #GOTO #IPO #saham https://t.co/SXxtzZrO6b'
,
2022-03-15 03:26:58+00:00,"b'Bila ingin melangkah jauh, melangkah lah bersama. #GOTO'"
,
2022-03-15 03:24:27+00:00,b'Bacaan Niat Puasa Ramadhan dan Perbedaan Antara Niat dengan Doa Puasa Ramadhan 2022\n\n#Ramadhan\n#NiatPuasaRamadhan\xe2\x80\xa6 https://t.co/3ezDDCmPBG'
,
2022-03-15 03:20:18+00:00,"b'SERU BANGET MATCH HARI INI!!!\xf0\x9f\x94\xa5\ngaseru kalo cuma dukung teriak2 aja dirumah ngab, pasang bet-nya dong kalo emang jag\xe2\x80\xa6 https://t.co/JEs5adsxmt'"
,
2022-03-15 03:18:46+00:00,"b'Bacaan Niat Puasa Qadha Ramadhan, Lengkap Dalil Berbahasa Arab, Latin, dan Terjemahannya \n\n#Bacaan\n#Niat\n#NiatPuasa\xe2\x80\xa6 https://t.co/vdPH9PSrk2'"
,
2022-03-15 03:15:21+00:00,b'Due Diligence Meeting #goto nih\n\nhttps://t.co/YlxjU6V1WJ'
,
2022-03-15 03:09:20+00:00,b'Wew udah book building #GOTO https://t.co/GSUst9Oi0f'
,
2022-03-15 03:05:52+00:00,"b'join segera guys, Mboplay sedang bagi-bagi pola kakek petir ni guys. Semoga dapat membantu kalian untuk menang guys\xe2\x80\xa6 https://t.co/zpHPQsxSDD'"
,
2022-03-15 02:35:07+00:00,"b'Dengan IPO ini, GoTo akan menghimpun dana sebanyak - banyaknya Rp 17,99 triliun. Penawaran umum akan dijadwalkan pa\xe2\x80\xa6 https://t.co/uqqBhGivMI'"
,
2022-03-15 02:24:14+00:00,b'Prospektus ringkas #GoTo \n\n#DYOR #NFA https://t.co/Nt1ihkTjVd'
,
2022-03-15 01:48:40+00:00,b'Siap2 rangorang pada fomo #goto'
,
2022-03-15 01:17:28+00:00,b'#GOTO\n\nSentimen menarik buat #IHSG https://t.co/o8rjXotWze'
,
2022-03-15 00:21:47+00:00,"b'RT @kafeinvestor: ~ *PT Goto Gojek Tokopedia (GOTO) Rp 316 - Rp 346 (15 - 21 Maret 2022), Penjamin Emisi Pt Indopremier, Pt Mandiri Sekurit\xe2\x80\xa6'"
,
2022-03-15 00:13:46+00:00,"b'#kafein saham yg ditawarkan #GOTO jumbo setara 52M vs IPO #BUKA 25M, so setara 692/shr - 632/shr.\n\nyg berarti sedik\xe2\x80\xa6 https://t.co/jyexTnibl0'"
,
2022-03-15 00:01:37+00:00,"b'RT @kafeinvestor: ~ *PT Goto Gojek Tokopedia (GOTO) Rp 316 - Rp 346 (15 - 21 Maret 2022), Penjamin Emisi Pt Indopremier, Pt Mandiri Sekurit\xe2\x80\xa6'"
,
2022-03-14 23:55:00+00:00,"b'#kafein dgn harga penawaran yg sama dgn #buka, maka ini berbahaya dgn buka yg ipo jauh lebih tinggi #850. \n\nHal ini\xe2\x80\xa6 https://t.co/r21QX1dIyN'"
,
2022-03-14 23:51:41+00:00,"b'~ *PT Goto Gojek Tokopedia (GOTO) Rp 316 - Rp 346 (15 - 21 Maret 2022), Penjamin Emisi Pt Indopremier, Pt Mandiri S\xe2\x80\xa6 https://t.co/yuGE02vZQc'"
,
2022-03-10 04:51:06+00:00,"b'\xe2\x80\x9cOriflakes (Solusi Maag, Asam Lambung, Diabetes) Rasa Coklat 900gr"" Rp150.000 di toko ms\'corner. Bisa Bebas Ongkir,\xe2\x80\xa6 https://t.co/y4ijod5AS7'"
